109,20,1,40,DUO,BOT,0
110,20,2,122,DUO,BOT,0
113,20,5,19,NONE,JUNGLE,0
112,20,4,51,SOLO,MID,0
111,20,3,58,SOLO,TOP,0
116,20,8,136,DUO,BOT,1
115,20,7,137,DUO,BOT,1
118,20,10,11,NONE,JUNGLE,1
114,20,6,125,SOLO,MID,1
117,20,9,66,SOLO,TOP,1
306,39,8,22,DUO_CARRY,BOT,0
308,39,10,37,DUO_SUPPORT,BOT,0
305,39,7,101,NONE,JUNGLE,0
307,39,9,8,SOLO,MID,0
304,39,6,96,SOLO,TOP,0
301,39,3,93,DUO,BOT,1
299,39,1,137,DUO,BOT,1
302,39,4,23,NONE,JUNGLE,1
300,39,2,84,SOLO,MID,1
303,39,5,106,SOLO,TOP,1
352,44,4,69,DUO,BOT,0
353,44,5,137,DUO,BOT,0
350,44,2,19,NONE,JUNGLE,0
351,44,3,105,SOLO,MID,0
349,44,1,76,SOLO,TOP,0
356,44,8,25,SOLO,BOT,1
357,44,9,95,NONE,JUNGLE,1
358,44,10,48,DUO_SUPPORT,MID,1
355,44,7,99,DUO_CARRY,MID,1
354,44,6,102,SOLO,TOP,1
395,48,7,37,DUO_SUPPORT,BOT,0
396,48,8,99,DUO_CARRY,BOT,0
398,48,10,93,NONE,JUNGLE,0
394,48,6,51,SOLO,MID,0
397,48,9,83,SOLO,TOP,0
391,48,3,130,DUO,BOT,1
390,48,2,137,DUO,BOT,1
392,48,4,19,NONE,JUNGLE,1
393,48,5,107,SOLO,MID,1
389,48,1,24,SOLO,TOP,1
403,49,5,12,NONE,JUNGLE,0
402,49,4,19,NONE,JUNGLE,0
401,49,3,22,NONE,JUNGLE,0
399,49,1,107,SOLO,MID,0
400,49,2,77,SOLO,TOP,0
408,49,10,43,DUO,BOT,1
407,49,9,61,DUO,BOT,1
404,49,6,31,NONE,JUNGLE,1
405,49,7,57,SOLO,MID,1
406,49,8,96,SOLO,TOP,1
470,56,2,93,SOLO,BOT,0
473,56,5,19,NONE,JUNGLE,0
472,56,4,29,DUO,MID,0
469,56,1,38,DUO,MID,0
471,56,3,102,SOLO,TOP,0
474,56,6,126,NONE,BOT,1
477,56,9,130,NONE,BOT,1
478,56,10,137,NONE,BOT,1
476,56,8,45,SOLO,MID,1
475,56,7,23,SOLO,TOP,1
21170,2126,2,78,DUO,BOT,0
21171,2126,3,99,DUO,BOT,0
21172,2126,4,28,NONE,JUNGLE,0
21173,2126,5,123,SOLO,MID,0
21169,2126,1,77,SOLO,TOP,0
21178,2126,10,1,DUO_SUPPORT,BOT,1
21174,2126,6,18,DUO_CARRY,BOT,1
21176,2126,8,9,NONE,JUNGLE,1
21175,2126,7,125,SOLO,MID,1
21177,2126,9,61,SOLO,TOP,1
21217,2130,9,12,DUO,BOT,0
21218,2130,10,48,DUO,BOT,0
21216,2130,8,122,NONE,JUNGLE,0
21215,2130,7,25,SOLO,MID,0
21214,2130,6,62,SOLO,TOP,0
21212,2130,4,61,DUO,BOT,1
21210,2130,2,110,DUO,BOT,1
21211,2130,3,19,NONE,JUNGLE,1
21209,2130,1,105,SOLO,MID,1
21213,2130,5,116,SOLO,TOP,1
21267,2135,9,48,DUO_CARRY,BOT,0
21268,2135,10,78,DUO_SUPPORT,BOT,0
21264,2135,6,32,NONE,JUNGLE,0
21266,2135,8,87,SOLO,MID,0
21265,2135,7,111,SOLO,TOP,0
21262,2135,4,49,DUO,BOT,1
21260,2135,2,122,DUO,BOT,1
21261,2135,3,55,NONE,JUNGLE,1
21259,2135,1,8,SOLO,MID,1
21263,2135,5,50,SOLO,TOP,1
21283,2137,5,49,DUO,BOT,0
21279,2137,1,120,DUO,BOT,0
21282,2137,4,95,NONE,JUNGLE,0
21281,2137,3,85,SOLO,MID,0
21280,2137,2,31,SOLO,TOP,0
21288,2137,10,12,DUO_SUPPORT,BOT,1
21285,2137,7,113,DUO_CARRY,BOT,1
21287,2137,9,11,NONE,JUNGLE,1
